time,ecu,signal,value,fault
2026-03-17T16:56:42.221102,0x200,brake_pressure,0.46,OK
2026-03-17T16:56:42.221107,0x300,accel_pedal,27.99,OK
2026-03-17T16:56:42.233662,0x100,wheel_speed,57.9,OK
2026-03-17T16:56:42.233669,0x200,brake_pressure,-0.47,OUT_OF_RANGE
2026-03-17T16:56:42.233697,0x300,accel_pedal,29.56,OK
2026-03-17T16:56:42.246246,0x100,wheel_speed,63.25,OK
2026-03-17T16:56:42.246254,0x200,brake_pressure,-0.9,OUT_OF_RANGE
2026-03-17T16:56:42.246275,0x300,accel_pedal,30.62,OK
2026-03-17T16:56:42.258842,0x100,wheel_speed,60.59,OK
2026-03-17T16:56:42.258852,0x200,brake_pressure,-1.65,OUT_OF_RANGE
2026-03-17T16:56:42.258877,0x300,accel_pedal,29.93,OK
2026-03-17T16:56:42.271618,0x100,wheel_speed,61.0,OK
2026-03-17T16:56:42.271650,0x200,brake_pressure,-1.12,OUT_OF_RANGE
2026-03-17T16:56:42.271704,0x300,accel_pedal,29.54,OK
2026-03-17T16:56:42.284277,0x100,wheel_speed,60.83,OK
2026-03-17T16:56:42.284304,0x200,brake_pressure,0.72,OK
2026-03-17T16:56:42.284315,0x300,accel_pedal,30.02,OK
2026-03-17T16:56:42.296970,0x100,wheel_speed,64.89,OK
2026-03-17T16:56:42.296994,0x200,brake_pressure,-0.93,OUT_OF_RANGE
2026-03-17T16:56:42.297065,0x300,accel_pedal,27.15,OK
2026-03-17T16:56:42.309691,0x100,wheel_speed,59.41,OK
2026-03-17T16:56:42.309717,0x200,brake_pressure,-1.11,OUT_OF_RANGE
2026-03-17T16:56:42.309774,0x300,accel_pedal,31.33,OK
2026-03-17T16:56:42.322427,0x100,wheel_speed,58.03,OK
2026-03-17T16:56:42.322473,0x200,brake_pressure,1.93,OK
2026-03-17T16:56:42.322486,0x300,accel_pedal,30.73,OK
2026-03-17T16:56:42.335163,0x100,wheel_speed,59.79,OK
2026-03-17T16:56:42.335197,0x200,brake_pressure,-0.21,OUT_OF_RANGE
2026-03-17T16:56:42.335301,0x300,accel_pedal,28.71,OK
2026-03-17T16:56:42.347862,0x100,wheel_speed,64.15,OK
2026-03-17T16:56:42.347888,0x200,brake_pressure,-0.62,OUT_OF_RANGE
2026-03-17T16:56:42.347942,0x300,accel_pedal,27.5,OK
2026-03-17T16:56:42.360589,0x100,wheel_speed,61.62,OK
2026-03-17T16:56:42.360624,0x200,brake_pressure,0.48,OK
2026-03-17T16:56:42.360645,0x300,accel_pedal,31.9,OK
2026-03-17T16:56:42.372176,0x100,wheel_speed,56.86,OK
2026-03-17T16:56:42.372212,0x200,brake_pressure,0.73,OK
2026-03-17T16:56:42.372226,0x300,accel_pedal,28.4,OK
2026-03-17T16:56:42.384600,0x100,wheel_speed,56.96,OK
2026-03-17T16:56:42.384626,0x200,brake_pressure,-1.23,OUT_OF_RANGE
2026-03-17T16:56:42.384697,0x300,accel_pedal,31.84,OK
2026-03-17T16:56:42.396904,0x100,wheel_speed,60.76,OK
2026-03-17T16:56:42.396940,0x200,brake_pressure,1.67,OK
2026-03-17T16:56:42.396954,0x300,accel_pedal,29.76,OK
2026-03-17T16:56:42.409565,0x100,wheel_speed,59.67,OK
2026-03-17T16:56:42.409594,0x200,brake_pressure,-0.26,OUT_OF_RANGE
2026-03-17T16:56:42.409692,0x300,accel_pedal,31.12,OK
2026-03-17T16:56:42.422272,0x100,wheel_speed,62.1,OK
2026-03-17T16:56:42.422307,0x200,brake_pressure,-0.79,OUT_OF_RANGE
2026-03-17T16:56:42.422369,0x300,accel_pedal,30.44,OK
2026-03-17T16:56:42.435076,0x100,wheel_speed,61.63,OK
2026-03-17T16:56:42.435118,0x200,brake_pressure,-0.71,OUT_OF_RANGE
2026-03-17T16:56:42.435196,0x300,accel_pedal,28.26,OK
2026-03-17T16:56:42.447908,0x100,wheel_speed,60.96,OK
2026-03-17T16:56:42.447958,0x200,brake_pressure,-1.24,OUT_OF_RANGE
2026-03-17T16:56:42.448072,0x300,accel_pedal,31.37,OK
2026-03-17T16:56:42.460550,0x100,wheel_speed,64.39,OK
2026-03-17T16:56:42.460580,0x200,brake_pressure,-1.3,OUT_OF_RANGE
2026-03-17T16:56:42.460639,0x300,accel_pedal,27.26,OK
2026-03-17T16:56:42.473024,0x100,wheel_speed,55.71,OK
2026-03-17T16:56:42.473063,0x200,brake_pressure,0.88,OK
2026-03-17T16:56:42.473079,0x300,accel_pedal,28.82,OK
2026-03-17T16:56:42.484664,0x100,wheel_speed,60.39,OK
2026-03-17T16:56:42.484707,0x200,brake_pressure,-1.32,OUT_OF_RANGE
2026-03-17T16:56:42.484807,0x300,accel_pedal,29.52,OK
2026-03-17T16:56:42.497581,0x100,wheel_speed,60.53,OK
2026-03-17T16:56:42.497610,0x200,brake_pressure,-1.39,OUT_OF_RANGE
2026-03-17T16:56:42.497669,0x300,accel_pedal,31.95,OK
2026-03-17T16:56:42.510411,0x100,wheel_speed,61.12,OK
2026-03-17T16:56:42.510463,0x200,brake_pressure,1.81,OK
2026-03-17T16:56:42.510485,0x300,accel_pedal,32.35,OK
2026-03-17T16:56:42.523161,0x100,wheel_speed,56.21,OK
2026-03-17T16:56:42.523210,0x200,brake_pressure,-1.75,OUT_OF_RANGE
2026-03-17T16:56:42.523315,0x300,accel_pedal,28.89,OK
2026-03-17T16:56:42.535902,0x100,wheel_speed,58.87,OK
2026-03-17T16:56:42.535933,0x200,brake_pressure,1.45,OK
2026-03-17T16:56:42.535945,0x300,accel_pedal,31.54,OK
2026-03-17T16:56:42.548729,0x100,wheel_speed,56.6,OK
2026-03-17T16:56:42.548778,0x200,brake_pressure,1.25,OK
2026-03-17T16:56:42.548795,0x300,accel_pedal,29.62,OK
2026-03-17T16:56:42.561460,0x100,wheel_speed,64.65,OK
2026-03-17T16:56:42.561507,0x200,brake_pressure,-0.37,OUT_OF_RANGE
2026-03-17T16:56:42.561612,0x300,accel_pedal,30.99,OK
2026-03-17T16:56:42.574235,0x100,wheel_speed,56.57,OK
2026-03-17T16:56:42.574275,0x200,brake_pressure,-1.63,OUT_OF_RANGE
2026-03-17T16:56:42.574364,0x300,accel_pedal,32.36,OK
2026-03-17T16:56:42.585655,0x100,wheel_speed,59.05,OK
2026-03-17T16:56:42.585697,0x200,brake_pressure,0.91,OK
2026-03-17T16:56:42.585718,0x300,accel_pedal,30.68,OK
2026-03-17T16:56:42.596486,0x100,wheel_speed,61.3,OK
2026-03-17T16:56:42.596522,0x200,brake_pressure,-1.6,OUT_OF_RANGE
2026-03-17T16:56:42.596762,0x300,accel_pedal,28.83,OK
2026-03-17T16:56:42.609301,0x100,wheel_speed,55.23,OK
2026-03-17T16:56:42.609348,0x200,brake_pressure,1.84,OK
2026-03-17T16:56:42.609364,0x300,accel_pedal,31.84,OK
2026-03-17T16:56:42.622032,0x100,wheel_speed,57.24,OK
2026-03-17T16:56:42.622072,0x200,brake_pressure,0.05,OK
2026-03-17T16:56:42.622087,0x300,accel_pedal,28.98,OK
2026-03-17T16:56:42.634744,0x100,wheel_speed,56.53,OK
2026-03-17T16:56:42.634789,0x200,brake_pressure,-0.04,OUT_OF_RANGE
2026-03-17T16:56:42.634890,0x300,accel_pedal,30.27,OK
2026-03-17T16:56:42.647507,0x100,wheel_speed,57.01,OK
2026-03-17T16:56:42.647562,0x200,brake_pressure,0.66,OK
2026-03-17T16:56:42.647590,0x300,accel_pedal,27.3,OK
2026-03-17T16:56:42.658389,0x100,wheel_speed,64.92,OK
2026-03-17T16:56:42.658435,0x200,brake_pressure,1.32,OK
2026-03-17T16:56:42.658456,0x300,accel_pedal,32.3,OK
2026-03-17T16:56:42.670211,0x100,wheel_speed,64.67,OK
2026-03-17T16:56:42.670247,0x200,brake_pressure,1.39,OK
2026-03-17T16:56:42.670261,0x300,accel_pedal,28.41,OK
2026-03-17T16:56:42.683010,0x100,wheel_speed,62.81,OK
2026-03-17T16:56:42.683048,0x200,brake_pressure,-1.93,OUT_OF_RANGE
2026-03-17T16:56:42.683119,0x300,accel_pedal,29.22,OK
2026-03-17T16:56:42.693696,0x100,wheel_speed,56.37,OK
2026-03-17T16:56:42.693744,0x200,brake_pressure,-0.46,OUT_OF_RANGE
2026-03-17T16:56:42.693830,0x300,accel_pedal,30.01,OK
2026-03-17T16:56:42.706368,0x100,wheel_speed,56.79,OK
2026-03-17T16:56:42.706396,0x200,brake_pressure,-0.39,OUT_OF_RANGE
2026-03-17T16:56:42.706461,0x300,accel_pedal,31.08,OK
2026-03-17T16:56:42.718965,0x100,wheel_speed,63.95,OK
2026-03-17T16:56:42.719006,0x200,brake_pressure,1.88,OK
2026-03-17T16:56:42.719021,0x300,accel_pedal,31.43,OK
2026-03-17T16:56:42.731690,0x100,wheel_speed,59.68,OK
2026-03-17T16:56:42.731726,0x200,brake_pressure,-0.97,OUT_OF_RANGE
2026-03-17T16:56:42.731798,0x300,accel_pedal,30.41,OK
2026-03-17T16:56:42.743494,0x100,wheel_speed,59.52,OK
2026-03-17T16:56:42.743539,0x200,brake_pressure,0.68,OK
2026-03-17T16:56:42.743559,0x300,accel_pedal,28.0,OK
2026-03-17T16:56:42.756171,0x100,wheel_speed,61.99,OK
2026-03-17T16:56:42.756214,0x200,brake_pressure,-1.02,OUT_OF_RANGE
2026-03-17T16:56:42.756308,0x300,accel_pedal,32.71,OK
2026-03-17T16:56:42.768881,0x100,wheel_speed,64.18,OK
2026-03-17T16:56:42.768908,0x200,brake_pressure,1.23,OK
2026-03-17T16:56:42.768919,0x300,accel_pedal,29.15,OK
2026-03-17T16:56:42.779925,0x100,wheel_speed,56.3,OK
2026-03-17T16:56:42.779963,0x200,brake_pressure,-1.88,OUT_OF_RANGE
2026-03-17T16:56:42.780035,0x300,accel_pedal,31.42,OK
2026-03-17T16:56:42.792675,0x100,wheel_speed,59.26,OK
2026-03-17T16:56:42.792718,0x200,brake_pressure,-1.7,OUT_OF_RANGE
2026-03-17T16:56:42.792801,0x300,accel_pedal,32.55,OK
2026-03-17T16:56:42.805293,0x100,wheel_speed,61.84,OK
2026-03-17T16:56:42.805325,0x200,brake_pressure,-0.75,OUT_OF_RANGE
2026-03-17T16:56:42.805391,0x300,accel_pedal,29.44,OK
2026-03-17T16:56:42.818000,0x100,wheel_speed,62.78,OK
2026-03-17T16:56:42.818033,0x200,brake_pressure,0.48,OK
2026-03-17T16:56:42.818048,0x300,accel_pedal,31.19,OK
2026-03-17T16:56:42.830767,0x100,wheel_speed,63.65,OK
2026-03-17T16:56:42.830813,0x200,brake_pressure,-0.87,OUT_OF_RANGE
2026-03-17T16:56:42.830941,0x300,accel_pedal,32.53,OK
2026-03-17T16:56:42.843547,0x100,wheel_speed,58.44,OK
2026-03-17T16:56:42.843584,0x200,brake_pressure,1.85,OK
2026-03-17T16:56:42.843603,0x300,accel_pedal,31.74,OK
2026-03-17T16:56:42.856296,0x100,wheel_speed,62.54,OK
2026-03-17T16:56:42.856331,0x200,brake_pressure,0.17,OK
2026-03-17T16:56:42.856348,0x300,accel_pedal,29.68,OK
2026-03-17T16:56:42.868887,0x100,wheel_speed,61.02,OK
2026-03-17T16:56:42.868925,0x200,brake_pressure,-0.83,OUT_OF_RANGE
2026-03-17T16:56:42.868998,0x300,accel_pedal,31.4,OK
2026-03-17T16:56:42.881739,0x100,wheel_speed,59.48,OK
2026-03-17T16:56:42.881833,0x200,brake_pressure,1.07,OK
2026-03-17T16:56:42.881851,0x300,accel_pedal,29.47,OK
2026-03-17T16:56:42.894497,0x100,wheel_speed,56.05,OK
2026-03-17T16:56:42.894536,0x200,brake_pressure,-0.46,OUT_OF_RANGE
2026-03-17T16:56:42.894638,0x300,accel_pedal,31.33,OK
2026-03-17T16:56:42.907245,0x100,wheel_speed,56.45,OK
2026-03-17T16:56:42.907276,0x200,brake_pressure,1.35,OK
2026-03-17T16:56:42.907287,0x300,accel_pedal,32.57,OK
2026-03-17T16:56:42.918957,0x100,wheel_speed,62.68,OK
2026-03-17T16:56:42.918999,0x200,brake_pressure,-1.97,OUT_OF_RANGE
2026-03-17T16:56:42.919080,0x300,accel_pedal,30.74,OK
2026-03-17T16:56:42.931857,0x100,wheel_speed,61.21,OK
2026-03-17T16:56:42.931910,0x200,brake_pressure,0.15,OK
2026-03-17T16:56:42.931932,0x300,accel_pedal,29.31,OK
2026-03-17T16:56:42.942970,0x100,wheel_speed,59.38,OK
2026-03-17T16:56:42.943035,0x200,brake_pressure,-0.67,OUT_OF_RANGE
2026-03-17T16:56:42.943144,0x300,accel_pedal,32.46,OK
2026-03-17T16:56:42.955669,0x100,wheel_speed,62.25,OK
2026-03-17T16:56:42.955702,0x200,brake_pressure,-0.11,OUT_OF_RANGE
2026-03-17T16:56:42.955780,0x300,accel_pedal,28.76,OK
2026-03-17T16:56:42.968545,0x100,wheel_speed,64.84,OK
2026-03-17T16:56:42.968603,0x200,brake_pressure,0.63,OK
2026-03-17T16:56:42.968626,0x300,accel_pedal,28.38,OK
2026-03-17T16:56:42.981311,0x100,wheel_speed,57.96,OK
2026-03-17T16:56:42.981356,0x200,brake_pressure,0.33,OK
2026-03-17T16:56:42.981375,0x300,accel_pedal,31.38,OK
2026-03-17T16:56:42.993552,0x100,wheel_speed,58.27,OK
2026-03-17T16:56:42.993596,0x200,brake_pressure,-0.96,OUT_OF_RANGE
2026-03-17T16:56:42.993703,0x300,accel_pedal,31.67,OK
2026-03-17T16:56:43.006313,0x100,wheel_speed,55.2,OK
2026-03-17T16:56:43.006352,0x200,brake_pressure,-1.0,OUT_OF_RANGE
2026-03-17T16:56:43.006417,0x300,accel_pedal,30.26,OK
2026-03-17T16:56:43.019057,0x100,wheel_speed,60.52,OK
2026-03-17T16:56:43.019111,0x200,brake_pressure,1.28,OK
2026-03-17T16:56:43.019134,0x300,accel_pedal,29.77,OK
2026-03-17T16:56:43.031842,0x100,wheel_speed,56.52,OK
2026-03-17T16:56:43.031886,0x200,brake_pressure,-1.27,OUT_OF_RANGE
2026-03-17T16:56:43.031991,0x300,accel_pedal,31.15,OK
2026-03-17T16:56:43.044578,0x100,wheel_speed,64.62,OK
2026-03-17T16:56:43.044611,0x200,brake_pressure,0.92,OK
2026-03-17T16:56:43.044622,0x300,accel_pedal,32.21,OK
2026-03-17T16:56:43.057363,0x100,wheel_speed,56.36,OK
2026-03-17T16:56:43.057416,0x200,brake_pressure,0.12,OK
2026-03-17T16:56:43.057444,0x300,accel_pedal,28.06,OK
2026-03-17T16:56:43.068912,0x100,wheel_speed,56.73,OK
2026-03-17T16:56:43.068946,0x200,brake_pressure,0.55,OK
2026-03-17T16:56:43.068960,0x300,accel_pedal,29.79,OK
2026-03-17T16:56:43.081722,0x100,wheel_speed,57.34,OK
2026-03-17T16:56:43.081770,0x200,brake_pressure,-0.84,OUT_OF_RANGE
2026-03-17T16:56:43.081853,0x300,accel_pedal,32.92,OK
2026-03-17T16:56:43.093466,0x100,wheel_speed,61.29,OK
2026-03-17T16:56:43.093513,0x200,brake_pressure,0.9,OK
2026-03-17T16:56:43.093537,0x300,accel_pedal,30.71,OK
2026-03-17T16:56:43.106105,0x100,wheel_speed,58.02,OK
2026-03-17T16:56:43.106129,0x200,brake_pressure,-1.07,OUT_OF_RANGE
2026-03-17T16:56:43.106200,0x300,accel_pedal,32.85,OK
2026-03-17T16:56:43.118760,0x100,wheel_speed,62.72,OK
2026-03-17T16:56:43.118780,0x200,brake_pressure,1.69,OK
2026-03-17T16:56:43.118790,0x300,accel_pedal,29.58,OK
2026-03-17T16:56:43.131511,0x100,wheel_speed,61.36,OK
2026-03-17T16:56:43.131546,0x200,brake_pressure,0.53,OK
2026-03-17T16:56:43.131559,0x300,accel_pedal,31.19,OK
2026-03-17T16:56:43.144197,0x100,wheel_speed,56.79,OK
2026-03-17T16:56:43.144237,0x200,brake_pressure,-0.05,OUT_OF_RANGE
2026-03-17T16:56:43.144342,0x300,accel_pedal,31.48,OK
2026-03-17T16:56:43.156918,0x100,wheel_speed,62.31,OK
2026-03-17T16:56:43.156949,0x200,brake_pressure,-0.9,OUT_OF_RANGE
2026-03-17T16:56:43.157024,0x300,accel_pedal,28.01,OK
2026-03-17T16:56:43.168963,0x100,wheel_speed,57.73,OK
2026-03-17T16:56:43.168998,0x200,brake_pressure,-1.35,OUT_OF_RANGE
2026-03-17T16:56:43.169084,0x300,accel_pedal,27.76,OK
2026-03-17T16:56:43.181622,0x100,wheel_speed,57.33,OK
2026-03-17T16:56:43.181645,0x200,brake_pressure,-0.85,OUT_OF_RANGE
2026-03-17T16:56:43.181692,0x300,accel_pedal,30.76,OK
2026-03-17T16:56:43.194306,0x100,wheel_speed,55.16,OK
2026-03-17T16:56:43.194329,0x200,brake_pressure,-0.36,OUT_OF_RANGE
2026-03-17T16:56:43.194382,0x300,accel_pedal,31.63,OK
2026-03-17T16:56:43.207134,0x100,wheel_speed,56.64,OK
2026-03-17T16:56:43.207175,0x200,brake_pressure,-0.77,OUT_OF_RANGE
2026-03-17T16:56:43.207298,0x300,accel_pedal,28.05,OK
2026-03-17T16:56:43.218897,0x100,wheel_speed,58.92,OK
2026-03-17T16:56:43.218929,0x200,brake_pressure,-0.74,OUT_OF_RANGE
2026-03-17T16:56:43.218992,0x300,accel_pedal,31.23,OK
2026-03-17T16:56:43.230473,0x100,wheel_speed,56.94,OK
2026-03-17T16:56:43.230509,0x200,brake_pressure,1.99,OK
2026-03-17T16:56:43.230523,0x300,accel_pedal,28.58,OK
2026-03-17T16:56:43.243191,0x100,wheel_speed,60.11,OK
2026-03-17T16:56:43.243234,0x200,brake_pressure,-1.3,OUT_OF_RANGE
2026-03-17T16:56:43.243342,0x300,accel_pedal,32.76,OK
2026-03-17T16:56:43.255890,0x100,wheel_speed,60.32,OK
2026-03-17T16:56:43.255918,0x200,brake_pressure,-1.24,OUT_OF_RANGE
2026-03-17T16:56:43.255995,0x300,accel_pedal,29.03,OK
2026-03-17T16:56:43.268672,0x100,wheel_speed,62.27,OK
2026-03-17T16:56:43.268710,0x200,brake_pressure,-0.43,OUT_OF_RANGE
2026-03-17T16:56:43.268779,0x300,accel_pedal,30.36,OK
2026-03-17T16:56:43.281364,0x100,wheel_speed,63.67,OK
2026-03-17T16:56:43.281395,0x200,brake_pressure,1.42,OK
2026-03-17T16:56:43.281410,0x300,accel_pedal,29.35,OK
2026-03-17T16:56:43.294069,0x100,wheel_speed,56.09,OK
2026-03-17T16:56:43.294102,0x200,brake_pressure,0.07,OK
2026-03-17T16:56:43.294121,0x300,accel_pedal,28.17,OK
2026-03-17T16:56:43.306995,0x100,wheel_speed,55.73,OK
2026-03-17T16:56:43.307049,0x200,brake_pressure,0.71,OK
2026-03-17T16:56:43.307071,0x300,accel_pedal,27.86,OK
2026-03-17T16:56:43.318060,0x100,wheel_speed,60.03,OK
2026-03-17T16:56:43.318104,0x200,brake_pressure,1.59,OK
2026-03-17T16:56:43.318123,0x300,accel_pedal,27.15,OK
2026-03-17T16:56:43.330846,0x100,wheel_speed,63.81,OK
2026-03-17T16:56:43.330896,0x200,brake_pressure,-0.79,OUT_OF_RANGE
2026-03-17T16:56:43.330995,0x300,accel_pedal,30.99,OK
2026-03-17T16:56:43.342958,0x100,wheel_speed,55.6,OK
2026-03-17T16:56:43.343021,0x200,brake_pressure,-0.54,OUT_OF_RANGE
2026-03-17T16:56:43.343105,0x300,accel_pedal,27.89,OK
2026-03-17T16:56:43.355674,0x100,wheel_speed,60.57,OK
2026-03-17T16:56:43.355705,0x200,brake_pressure,-0.72,OUT_OF_RANGE
2026-03-17T16:56:43.355778,0x300,accel_pedal,32.05,OK
2026-03-17T16:56:43.368342,0x100,wheel_speed,56.08,OK
2026-03-17T16:56:43.368367,0x200,brake_pressure,-1.62,OUT_OF_RANGE
2026-03-17T16:56:43.368431,0x300,accel_pedal,31.6,OK
2026-03-17T16:56:43.381248,0x100,wheel_speed,60.59,OK
2026-03-17T16:56:43.381295,0x200,brake_pressure,-1.83,OUT_OF_RANGE
2026-03-17T16:56:43.381382,0x300,accel_pedal,29.43,OK
2026-03-17T16:56:43.391671,0x100,wheel_speed,58.93,OK
2026-03-17T16:56:43.391713,0x200,brake_pressure,0.04,OK
2026-03-17T16:56:43.391735,0x300,accel_pedal,31.62,OK
2026-03-17T16:56:43.402442,0x100,wheel_speed,63.52,OK
2026-03-17T16:56:43.402491,0x200,brake_pressure,0.34,OK
2026-03-17T16:56:43.402516,0x300,accel_pedal,29.97,OK
2026-03-17T16:56:43.413689,0x100,wheel_speed,59.01,OK
2026-03-17T16:56:43.413729,0x200,brake_pressure,-1.12,OUT_OF_RANGE
2026-03-17T16:56:43.413973,0x300,accel_pedal,30.86,OK
2026-03-17T16:56:43.426226,0x100,wheel_speed,59.72,OK
2026-03-17T16:56:43.426256,0x200,brake_pressure,1.92,OK
2026-03-17T16:56:43.426268,0x300,accel_pedal,28.65,OK
2026-03-17T16:56:43.439015,0x100,wheel_speed,64.9,OK
2026-03-17T16:56:43.439056,0x200,brake_pressure,-0.13,OUT_OF_RANGE
2026-03-17T16:56:43.439131,0x300,accel_pedal,32.18,OK
2026-03-17T16:56:43.452082,0x100,wheel_speed,57.68,OK
2026-03-17T16:56:43.452113,0x200,brake_pressure,-1.63,OUT_OF_RANGE
2026-03-17T16:56:43.452161,0x300,accel_pedal,28.78,OK
2026-03-17T16:56:43.465065,0x100,wheel_speed,63.37,OK
2026-03-17T16:56:43.465125,0x200,brake_pressure,-0.36,OUT_OF_RANGE
2026-03-17T16:56:43.465237,0x300,accel_pedal,32.81,OK
2026-03-17T16:56:43.477569,0x100,wheel_speed,56.13,OK
2026-03-17T16:56:43.477598,0x200,brake_pressure,-0.43,OUT_OF_RANGE
2026-03-17T16:56:43.477678,0x300,accel_pedal,29.56,OK
2026-03-17T16:56:43.490414,0x100,wheel_speed,57.38,OK
2026-03-17T16:56:43.490470,0x200,brake_pressure,1.35,OK
2026-03-17T16:56:43.490481,0x300,accel_pedal,32.0,OK
2026-03-17T16:56:43.503237,0x100,wheel_speed,60.83,OK
2026-03-17T16:56:43.503299,0x200,brake_pressure,1.07,OK
2026-03-17T16:56:43.503324,0x300,accel_pedal,30.13,OK
2026-03-17T16:56:43.516077,0x100,wheel_speed,63.23,OK
2026-03-17T16:56:43.516133,0x200,brake_pressure,-0.51,OUT_OF_RANGE
2026-03-17T16:56:43.516251,0x300,accel_pedal,31.22,OK
2026-03-17T16:56:43.528830,0x100,wheel_speed,63.85,OK
2026-03-17T16:56:43.528869,0x200,brake_pressure,-1.83,OUT_OF_RANGE
2026-03-17T16:56:43.528989,0x300,accel_pedal,31.15,OK
2026-03-17T16:56:43.541567,0x100,wheel_speed,62.26,OK
2026-03-17T16:56:43.541607,0x200,brake_pressure,0.58,OK
2026-03-17T16:56:43.541626,0x300,accel_pedal,28.8,OK
2026-03-17T16:56:43.552290,0x100,wheel_speed,62.87,OK
2026-03-17T16:56:43.552334,0x200,brake_pressure,-0.21,OUT_OF_RANGE
2026-03-17T16:56:43.552452,0x300,accel_pedal,27.73,OK
2026-03-17T16:56:43.565100,0x100,wheel_speed,64.4,OK
2026-03-17T16:56:43.565145,0x200,brake_pressure,-1.4,OUT_OF_RANGE
2026-03-17T16:56:43.565217,0x300,accel_pedal,30.41,OK
2026-03-17T16:56:43.577678,0x100,wheel_speed,61.43,OK
2026-03-17T16:56:43.577712,0x200,brake_pressure,-1.26,OUT_OF_RANGE
2026-03-17T16:56:43.577774,0x300,accel_pedal,28.82,OK
2026-03-17T16:56:43.588941,0x100,wheel_speed,61.74,OK
2026-03-17T16:56:43.588972,0x200,brake_pressure,-0.71,OUT_OF_RANGE
2026-03-17T16:56:43.589036,0x300,accel_pedal,31.18,OK
2026-03-17T16:56:43.601912,0x100,wheel_speed,58.14,OK
2026-03-17T16:56:43.601982,0x200,brake_pressure,-1.39,OUT_OF_RANGE
2026-03-17T16:56:43.602093,0x300,accel_pedal,28.2,OK
2026-03-17T16:56:43.614701,0x100,wheel_speed,57.15,OK
2026-03-17T16:56:43.614756,0x200,brake_pressure,-0.33,OUT_OF_RANGE
2026-03-17T16:56:43.614859,0x300,accel_pedal,29.34,OK
2026-03-17T16:56:43.627449,0x100,wheel_speed,62.55,OK
2026-03-17T16:56:43.627495,0x200,brake_pressure,0.47,OK
2026-03-17T16:56:43.627515,0x300,accel_pedal,30.45,OK
2026-03-17T16:56:43.640203,0x100,wheel_speed,64.55,OK
2026-03-17T16:56:43.640253,0x200,brake_pressure,-1.4,OUT_OF_RANGE
2026-03-17T16:56:43.640327,0x300,accel_pedal,30.72,OK
2026-03-17T16:56:43.652866,0x100,wheel_speed,63.64,OK
2026-03-17T16:56:43.652905,0x200,brake_pressure,0.64,OK
2026-03-17T16:56:43.652916,0x300,accel_pedal,27.12,OK
2026-03-17T16:56:43.665656,0x100,wheel_speed,55.05,OK
2026-03-17T16:56:43.665707,0x200,brake_pressure,-0.57,OUT_OF_RANGE
2026-03-17T16:56:43.665808,0x300,accel_pedal,29.76,OK
2026-03-17T16:56:43.678455,0x100,wheel_speed,64.34,OK
2026-03-17T16:56:43.678507,0x200,brake_pressure,0.67,OK
2026-03-17T16:56:43.678565,0x300,accel_pedal,32.19,OK
2026-03-17T16:56:43.691274,0x100,wheel_speed,55.9,OK
2026-03-17T16:56:43.691329,0x200,brake_pressure,-1.31,OUT_OF_RANGE
2026-03-17T16:56:43.691429,0x300,accel_pedal,31.53,OK
2026-03-17T16:56:43.702373,0x100,wheel_speed,56.5,OK
2026-03-17T16:56:43.702426,0x200,brake_pressure,-0.95,OUT_OF_RANGE
